date,product,contextFirstDate,contextLastDate,calendarSlots,observedSlots,nanSlots,contextSha256
2023-05-29,21,2022-01-02,2023-05-28,512,393,119,63d8b51876a430841d3f7b3cc05dba0d89dbadbdf024aa56db26dd9057a8fd87
2023-05-29,35,2022-01-02,2023-05-28,512,389,123,6ffea591a554a0d1a53982a8a20107b0efd1ff0c0584ffcff4cba2edc3c3a87c
2023-05-29,82,2022-01-02,2023-05-28,512,386,126,6ecd03a74747e655e88737e23bd6b839b0a8689a8c90bf15f16cb3f4d73aff7f
2023-05-30,11,2022-01-03,2023-05-29,512,394,118,610c672a1cf2c754b3d3795eaa4ddf124965457ec75471fbf1436af9bccab866
2023-05-30,12,2022-01-03,2023-05-29,512,386,126,122dd12da02befbe3a435b55ac47df5778b263abcd3ca99a4cb9b1e2beb47cd6
2023-05-30,13,2022-01-03,2023-05-29,512,392,120,89212e500cc34a9c6043cbe25056b96cf2274e77253b2a0cf36d48d5ac727fe8
2023-05-30,21,2022-01-03,2023-05-29,512,393,119,4ab7bbd469eb9568acda9032e53fd3e35a94e93c9127c81b4303a7686654e5ff
2023-05-30,35,2022-01-03,2023-05-29,512,389,123,a4e8b93f198de02b5ff00915812a1e619710f26cf71aeb1f48af583f9de93aa2
2023-05-30,82,2022-01-03,2023-05-29,512,387,125,fb1601c8c0c26829cd4c8fe3cc35349b274d6337a84db1078a5d0fb7de9ca995
2023-05-31,11,2022-01-04,2023-05-30,512,394,118,1e79e7db84c965764ccd50a3a2470759389eae070956ae3f08faac0e29e999dc
2023-05-31,12,2022-01-04,2023-05-30,512,386,126,862cbf525ee48d40c5a05ba9376e35929a99cbfedb78063b6066a12f7fd8f47c
2023-05-31,13,2022-01-04,2023-05-30,512,392,120,f7ea2a9deec1fe389503bcfae084d496b8434642ca913521abc3de446a6e354c
2023-05-31,21,2022-01-04,2023-05-30,512,393,119,50d8ac28d44a4aad4671cbfe88101be578b9017fe463901e448fb2e235f6e6b3
2023-05-31,35,2022-01-04,2023-05-30,512,389,123,5a7e59a66ec3645d7a5b75b75d8ddea6451c024bd9ac163a7dc87ce73617e2b3
2023-05-31,82,2022-01-04,2023-05-30,512,388,124,08e31f56a3fc96bad12f9266b462a3b116da25fa5e9925a39ae360f1816b383f
2023-06-01,11,2022-01-05,2023-05-31,512,394,118,b7cc0d9d208b88d868504d5894beaa1c59faa4d792424b45eee61b88c9d20717
2023-06-01,12,2022-01-05,2023-05-31,512,386,126,4432b5c27ad308b6813008c29c7dfc413f34e8544488bce247e73f0b5460bc1d
2023-06-01,13,2022-01-05,2023-05-31,512,392,120,bfcc63bea9ef2650947c5e5c93dbd7178dd574b064748ab13c956c7c1a0dd6a3
2023-06-01,21,2022-01-05,2023-05-31,512,393,119,8b2e85a7c45cd5c27fdb0fc0e5750cd34e260a39fc1f9278546ed930a173b89d
2023-06-01,35,2022-01-05,2023-05-31,512,389,123,29f2cc59c03505eef62fe12ae584778629a01203abe6b9c7470107cd73c3fe64
2023-06-01,82,2022-01-05,2023-05-31,512,389,123,0c98330b1fbecd6aecb0262e1e8d56b6981207ebe66bef0e92157fbd6a49ab2a
2023-06-02,11,2022-01-06,2023-06-01,512,394,118,1b8f564bb98832551b1d698d6ef28a360d2c8a9f7e9cc1b4261d5fb9d585d3fc
2023-06-02,12,2022-01-06,2023-06-01,512,386,126,b6f664aca27fb48f557c62b2750ce7b3191c93147fa56dbf5d368db6d0e832cb
2023-06-02,13,2022-01-06,2023-06-01,512,392,120,e9249e1a99b522e93beca351bce4a6ee1f28bf579b4f30be54cc25790ff434f8
2023-06-02,21,2022-01-06,2023-06-01,512,393,119,d2eaefac598eabe36ffa17da742bbd8c20eda2efa24e9bad6b3b88e6a0821718
