variantId,splitId,date,product,weightCutoffExclusive,weightLatestOutcome,weightRows,residualFirstOutcome,residualLatestOutcome,residualRows,newObservedHistoryUsed,correctionP50,correctionP75,weight_extra-trees,weight_catboost,weight_scaled-catboost,weight_spline-ridge,weight_weekday-8
custom-residual-only,split-2,2023-09-15,21,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,56,True,1.1370229584726816,2.5010696091998308,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-15,35,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,56,True,4.7180226860605421,2.4903068766161534,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-15,82,2023-08-04,2023-08-03,166,2023-07-21,2023-09-14,56,True,0.37280578068598841,0.97852226008081544,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,11,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,56,True,0.23508305669033785,1.8407454452307941,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,12,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,54,True,-0.082453412389078592,0.19031541235253938,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,13,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,56,True,0.031726500432232678,0.75562806434549978,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,21,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,56,True,-1.9542983089052914,2.4606914673608973,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,35,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,56,True,4.6357198038083025,5.6105484502425575,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-16,82,2023-08-04,2023-08-03,166,2023-07-22,2023-09-15,56,True,0.36354078495296388,0.95420395539241654,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,11,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,56,True,0.0098519057443205178,1.7866058733122414,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,12,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,54,True,-0.10082423252529493,0.1877980127182465,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,13,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,56,True,0.26195905705870243,1.0570122119286998,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,21,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,56,True,1.1046291419919785,2.4298140647781832,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,35,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,56,True,4.2545863835543702,3.817586161784285,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-17,82,2023-08-04,2023-08-03,166,2023-07-23,2023-09-16,56,True,0.33788116837377835,0.53070164323636826,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,11,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,56,True,-0.0080004945043999683,0.8415381569347925,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,12,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,54,True,-0.09812116999110472,0.10074868028242155,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,13,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,56,True,0.25490395364845631,1.0285446699212524,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,21,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,56,True,-1.8637516691104516,2.3466825962862612,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,35,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,56,True,4.1839133469151442,3.7646865844847337,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-18,82,2023-08-04,2023-08-03,166,2023-07-24,2023-09-17,56,True,-0.14927356184812743,0.51292379662671328,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,11,2023-08-04,2023-08-03,166,2023-07-25,2023-09-18,56,True,-1.0402375760536593,0.79283541030195792,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,12,2023-08-04,2023-08-03,166,2023-07-27,2023-09-18,54,True,-0.10737885267723116,-0.041635975881061722,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,13,2023-08-04,2023-08-03,166,2023-07-25,2023-09-18,56,True,-0.67101931805220782,0.69469031722086261,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,21,2023-08-04,2023-08-03,166,2023-07-25,2023-09-18,56,True,1.0247243946729108,1.6764568959503714,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,35,2023-08-04,2023-08-03,166,2023-07-25,2023-09-18,56,True,4.0500019907687577,2.2993153589009903,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-19,82,2023-08-04,2023-08-03,166,2023-07-25,2023-09-18,56,True,-0.53618918209517585,0.21007617875674431,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-20,11,2023-08-04,2023-08-03,166,2023-07-26,2023-09-19,56,True,-1.410160247120541,0.6257302810383284,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
